1,TRUE,FALSE,1,52
2,TRUE,FALSE,2,51
3,TRUE,FALSE,3,50
4,TRUE,FALSE,4,49
5,TRUE,FALSE,5,48
6,TRUE,FALSE,6,47
7,TRUE,FALSE,7,46
8,TRUE,FALSE,8,45
9,TRUE,FALSE,9,44
10,TRUE,FALSE,10,43
11,TRUE,FALSE,11,42
12,TRUE,FALSE,12,41
13,TRUE,FALSE,13,40
14,TRUE,FALSE,14,39
15,TRUE,FALSE,15,38
16,TRUE,FALSE,16,37
17,TRUE,FALSE,17,36
18,TRUE,FALSE,18,35
19,TRUE,FALSE,19,34
20,TRUE,FALSE,20,33
21,TRUE,FALSE,21,32
22,TRUE,FALSE,22,31
23,TRUE,FALSE,23,30
24,TRUE,FALSE,24,29
25,TRUE,FALSE,25,28
26,TRUE,FALSE,26,27
27,TRUE,FALSE,27,26
28,TRUE,FALSE,28,25
29,TRUE,FALSE,29,24
30,TRUE,FALSE,30,23
31,TRUE,FALSE,31,22
32,TRUE,FALSE,32,21
33,TRUE,FALSE,33,20
34,TRUE,FALSE,34,19
35,TRUE,FALSE,35,18
36,TRUE,FALSE,36,17
37,TRUE,FALSE,37,16
38,TRUE,FALSE,38,15
39,TRUE,FALSE,39,14
40,TRUE,FALSE,40,13
41,TRUE,FALSE,41,12
42,TRUE,FALSE,42,11
43,TRUE,FALSE,43,10
44,TRUE,FALSE,44,9
45,TRUE,FALSE,45,8
46,TRUE,FALSE,46,7
47,TRUE,FALSE,47,6
48,TRUE,FALSE,48,5
49,TRUE,FALSE,49,4
50,TRUE,FALSE,50,3
51,TRUE,FALSE,51,2
52,TRUE,FALSE,52,1
