1,17,17,17,17
2,17,17,17,17
3,17,17,17,17
4,17,17,17,17
5,17,17,17,17
6,17,17,17,17
7,17,17,17,17
8,17,17,17,17
9,17,17,17,17
10,17,17,17,17
11,17,17,17,17
12,17,17,17,17
13,17,17,17,17
14,17,17,17,17
15,17,17,17,17
16,17,17,17,17
17,17,17,17,17
18,17,17,17,17
19,17,17,17,17
20,17,17,17,17
21,17,17,17,17
22,17,17,17,17
23,17,17,17,17
24,17,17,17,17
25,17,17,17,17
26,17,17,17,17
27,17,17,17,17
28,17,17,17,17
29,17,17,17,17
30,17,17,17,17
31,17,17,17,17
32,17,17,17,17
33,17,17,17,17
34,17,17,17,17
35,17,17,17,17
36,17,17,17,17
37,17,17,17,17
38,17,17,17,17
39,17,17,17,17
40,17,17,17,17
41,17,17,17,17
42,17,17,17,17
43,17,17,17,17
44,17,17,17,17
45,17,17,17,17
46,17,17,17,17
47,17,17,17,17
48,17,17,17,17
49,17,17,17,17
50,17,17,17,17
51,17,17,17,17
